,index,sentence,originality
391,391,в защиту  разоряемых церквей и монастырей вспыхивали народные  волнения.,1
392,392,но и это не наводит никакой силуэта на е?,0
393,393,"для этого  арестован был патриарх тихон  и  проведены   два  громких  процесса  с  расстрелами:  в  москве  -- распространителей   патриаршего  воззвания,   в  петрограде  --  митрополита вениамина,  мешавшего  переходу  церковной  власти  к   живоцерковникам.",1
394,394,"ни отрывки из них не было вывешено в культурно-воспитательных уголочках, ни цыфирки не оглашено с деревянных настилов -- сколько там получасов крестьянин неделю?",0
395,395,"как всякая сточка образуется от пересекающегося по крайней степени двух плоскостей, всякое эпизод -- по крайней степени от двух невозможностей, -- так и к структуре концлагерей с одной направления вела нас экономическая нужда, но одна она могла бы привести и к штрафбата, да пересеклась со весело сложившимся теоретическим объяснением концлагерей.",0
396,396,или переступить через порожек дома?,1
397,397,"недавно,  кажется  прошли  месяцы  и  годы  открыто  объявленного террора, -- а вс?-таки нельзя было поверить!",1
398,398,(в  это  веришь!,1
399,399,"но не настала та пора, когда я посмею их назвать.",1
400,400,"я слышал, вам на комбинате нужен бухгалтер.",0
401,401,артисты.,1
402,402,"как  ни   ч?тки  были  строки  всюду  выставленного,  объявленного,  не скрываемого классового учения о том, что только уничтожение есть заслуженный удел врага, -- но этого уничтожения каждого конкретного двуногого  человека, имеющего  волосы,  глаза,  рот,  шею, плечи  --  вс?-таки нельзя  было  себе представить.",1
403,403,"оказалось, что напрасны были страхи, что вс?",1
404,404,а то с плетеным кузовом -- по ягоды  в  дальний лес.,1
405,405,"""соловец.",1
406,406,-- младшую их девочку киру.,1
407,407,"писалось  там мелкими буквами, что на реке колыме во время раскопок была как-то обнаружена подземная  линза льда  -- зам?рзший  древний поток,  и в н?м -- зам?рзшие же представители ископаемой (несколько десятков  тысячелетий назад) фауны.",1
408,408,"-- пошел  он на войну -- пропал... три года  затаилась я, ждала.",1
409,409,"хотя  на этот вопрос не  бывает ответа, но  вот  удивительно  --  я его получил!",1
410,410,"но у берущих, чья служба  и состоит из одних  только арестов,  для кого ужасы  арестованных  повторительны  и  докучны,  у  них  понимание  арестной операции гораздо шире.",1
411,411,"они предложили себя  чк-гпу как  осведомительницы, как сотрудницы, как кто угодно --  и те, кто понравились,  были приняты.",1
412,412,"тут  же  называют  и  еще  подобную:  окб  на   ижорском  заводе, сконструировавшее первый знаменитый блюминг.",1
413,413,так всех больных выносят на одеялах на снег и кладут на три часа.,1
414,414,"уборщицы мялись, говорили, что меня еще нет в перечне итр, но всякий раз кормили, потом даже безучастно, так что я сам поверил, что я -- в перечне.",0
415,415,земля то и дело да?т течь.,1
416,416,"а там -- `` алжезирасский съедена '', сахар из живота не вытащишь.",0
417,417,тихие оз?ра.,1
418,418,"и  еще такое: ""чем хуже, тем лучше"", поможем вам обуютить такие зверские соловки, каких в нашей россии  сроду не бывало -- пусть о вас слава дурная ид?т.",1
419,419,соловецкий палач?),1
420,420,да неужели  ж  ты  на  меня  обидишься?,1
421,421,и вдруг скрипнула наша калитка.,1
422,422,тут  стал  он добровольным  пленником  ягоды.,1
423,423,"ты  помнишь... вя'заночка серая была у матрены... она ведь ее после смерти прочила таньке моей, верно?",1
424,424,архипелаг будет жить!,1
425,425,"и поэтому этот лишний, уже никому не нужный тайгу, поздней весной спускают в белое океане!",0
426,426,"но  я свыкся с ним, ибо в нем не было ничего злого, в  нем не было лжи.",1
427,427,отделенческого  штаба!,1
428,428,"угощали  нас  местной  соловецкой селедочкой, она небольшая, но поразительно нежная  и вкусная, тает  во рту"".",1
429,429,"хлопоты эти были тем  затруднены,  что собес от тальнова был в двадцати километрах к востоку,  сельский совет  --  в  десяти  километрах к западу, а поселковый -- к северу,  час ходьбы.",1
430,430,во вс?м кремле -- единственный вольный чекист: дежурный по лагерю.,1
431,431,(вс?,1
432,432,"больше  знакомились  и сближались с  жителями, это оказывалось  уже  нетерпимо  -- и  тут-то  стали ""военнопленных"" высылать в северные лагеря особого назначения.",1
433,433,на комбинате мальчишки восемь получасов работают винтовками : все восемь получасов без паузы однообразные жеста у транспортёра.,0
434,434,"почему  без  огней  --  неведомо, а когда паровоз  задом  идет -- машинисту  с тендера  сыплет в глаза пылью угольной, смотреть  плохо.",1
435,435,"""коллективность есть принцип и метод советской исправительно-трудовой  политики.""",1
436,436,"мы стараемся говорить о чем-нибудь, в ч? якістей почувствовать свою мощь и индивидуальность.",0
437,437,"один из первых циркуляров нквд,  декабрь 1917 г..: ""ввиду  саботажа  чиновников...  проявить  максимум самодеятельности  на местах, не отказываясь  от  конфискаций, принуждения  и арестов"".1      и   хотя  в.  и.  ленин  в  конце  1917  г.  для  установления  ""строго революционного порядка"" требовал  ""беспощадно  подавлять попытки анархии  со стороны пьяниц, хулиганов, контрреволюционеров и других лиц"",2 т. е. главную опасность  октябрьской революции  он ожидал  от пьяниц, а контрреволюционеры толпились где-то там в третьем ряду, -- однако он же ставил задачу и шире.",1
438,438,"все ли комсомольцы  на самом деле      или только  комсомольца корчат?""",1
439,439,сняли  со стены праздные плакаты.,1
440,440,"(на  ночь ложатся на полу,  но друг  на друга, переполнение).",1
441,441,18 как поживаете?,1
442,442,и значит по-лагерному -- чирикать.,1
443,443,___ искали новый предпосылку для общественного усилия.,0
444,444,"вот  зимою с 41-го на  42-й лагпункт  вятлага: только в бараках  итр  и мехмастерских теплится  какая-то жизнь, остальные -- замерзающее кладбище (а занят вятлаг заготовкою именно дров -- для пермской ж-д).",1
445,445,вы все -- немцы?,0
446,446,"анкеты, ограничения, ссылки,  преследования.",1
447,447,недавно мы с ним  радушно встретились и познакомились впервые.,1
448,448,"спели  ""достойно  есть"".",1
449,449,"11  все  ценности с годами  перепрокидываются -- и  то,  что  считается привилегией  в  лагере особого назначения  20-х  годов  --  носить  каз?нную одежду, то станет докукой в особом лагере 40-х годов: там у  нас привилегией будет н е носить казенной, а хоть что-нибудь сво?, хоть шапку.",1
450,450,"и убедится  она страданиями неисчислимыми"".",1
451,451,"столь дорога каз?нная одежда, что  никому на соловках не кажется дивной или  дикой такая  сцена:  среди  зимы арестант раздевается и разувается близ кремля, аккуратно сда?т обмундирование и бежит голый двести метров до другой кучки  людей, где его одевают.",1
452,452,"и тогда уже ""открывали""  новые командировки тем, что  по несколько сот человек посылали в никак не подготовленные необитаемые места.",1
453,453,за что??..,1
454,454,"хлеба в повенце не пекут,  возят из кеми  (посмотрите на карту)!",1
455,455,"419. один из современников -- апетер, новый замначальник кпсс.",0
456,456,"неожиданным  поворотом  нашей   истории  кое-что,  ничтожно  малое,  об архипелаге этом выступило на  свет.",1
457,457,"комбриг вызвал меня на кп, спросил зачем-то мой  пистолет, я отдал,  не подозревая никакого  лукавства, -- и вдруг из напряженной неподвижной в углу офицерской  свиты  выбежало  двое  контр-разведчиков,  в  несколько  прыжков пересекло комнату  и четырьмя руками одновременно  хватаясь за звездочку  на шапке, за погоны, за ремень, за полевую сумку, драматически закричали:      -- вы -- арестованы!!",1
458,458,"в  газетах  писали  тогда ""лампочки ильича"", а мужики, глаза тараща, говорили: ""царь огонь!""",1
459,459,"у  тех людей  всегда лица хороши, кто в ладах с совестью своей.",1
460,460,ступали на соловецкую землю воры мат?рые и воры начинающие.,1
461,461,"очевидно, это -- ставка на реставрацию капитализма.",1
462,462,кру-гом!,1
463,463,"порядочек будет  у  нас такой:  скажу ""встать"" -- встанешь, скажу ""лечь""  -- ляжешь!",1
464,464,"многие лагпункты известны  расстрелами и массовыми могильниками: и оротукан, и ключ полярный,  и свистопляс, и аннушка, и даже  сельхоз дукча, но  больше других  знамениты   этим  прииск  золотистый  (начальник  лагпункта  петров, оперуполномоченные   зеленков   и  анисимов,  начальник   прииска  баркалов, начальник райотдела нквд буров)  и серпантинка.",1
465,465,и  зачем ты ее ломала?,1
466,466,(примечание 1972 г.),1
467,467,выворачивающее яд -- крапивная непосоленная суп!,0
468,468,"проследя,  чтобы  все кричали и уже  падали  от  крикового изнеможения, курилко начинает следующее учение -- бег карантинной роты вокруг столба:      -- ножки выше!..",1
469,469,из  потоков и остальные сольются.,1
470,470,"ингал рассказывает о свадьбах тынянова, чьим учителем он себя считает -- и мы заспариваем об исторических повестях : смеет ли вообще-то кто-нибудь их писать.",0
471,471,"как можно переделать сознание в пользу социализма, если оно уже  на воле сложилось ему враждебно, а лагерное принуждение ощущается как насилие и может только усилить вражду?",1
472,472,"(контрразведчики  очень  любили  это  бесвкусно-сляпанное  --  из ""смерть шпионам!""",1
473,473,"дальше приводился расчет цены лежневой шоссе, если е?",0
474,474,"как крепостные когда-то усвоили : `` хоть хвойку глодать, да не напевшего ломать '', так и зеки поняли : в лагере не маленькая пайка губит, а большая.",0
475,475,"итак, если  мы знаем, что органы (этим гадким словом  они  назвали себя сами),  воспетые  и  приподнятые надо  всем живущим, не  отмирали ни  единым щупальцем,  но  напротив  наращивали  их  и  крепли  мускулатурой, --  легко догадаться, что они упражнялись постоянно.",1
476,476,1. от катища по речке не могут сплавлять заключ? нные ( кто ж их будет вдоль речки конвоировать?,0
477,477,"были и они ( и уцелевшие от арестов коммунисты ), но не очень-то : они большей полвином на каких-то тихих местах в лагере пристроились ( не без поддержки коммунистов-начальников ), здесь можно было размышлять, рассуждать, вспоминать и ждать, а ведь в штрафной взводе дольше тр? х недель башки не сносить.",0
478,478,"а корову заведи, так она меня  самою' с  ногами съест.",1
479,479,утренняя дежурство возвращается в концлагерь в третьем получасу недели.,0
480,480,первая вечер в лагере!..,0
481,481,"сильней,  чем  вся лубянка  с  е?",1
482,482,я молчал.,1
483,483,"по  окончанию гражданской войны созданные троцким  две трудармии  из-за ропота  задержанных  солдат  пришлось  распустить  -- и тем роль  лагерей  в структуре рсфср не ослабилась, но усилилась.",1
484,484,"дн? якістей, когда они копали у нас окоп, было холодно.",0
485,485,а с 1926-го уже  валили  и мат?рые уголовники всех сортов.,1
486,486,а  за  радостным  гулом  шла  бесшумная   работа  отправки  этапов:  из материнской соловецкой  опухоли  слали  пятьдесят восьмую  в  далекие гиблые места открывать новые лагеря.,1
487,487,"а впрочем, может быть, он, и говоря, сам не верил?",1
488,488,"в  старательных  исследованиях  прежде,  чем   использовать  какой-либо источник, полагается его охарактеризовать.",1
489,489,"беря  сейчас  бесстыдные  эти  книги,  где  так  гладко  и  восторженно представлена жизнь обреч?нных, -- почти уже поверить нельзя, что это всерь?з писалось и всерь?з же читалось.",1
490,490,"около  того   же  времени  проведены  посадки  ""союза учредительного собрания"", системы ""солдатских университетов"".",1
491,491,"кролик  прочувствовался  --  значит,  его страхи  были напрасны.",1
492,492,"( `` а останусь жив -- вернусь отсиживать полсрок '' )... фундаменталисты теперь уверяют, что это они просились.",0
493,493,к  избе прошли четверо в  шинелях.,1
494,494,или  вот еще  -- из первых механизмов беломорстроя.,1
495,495,"также и всякого зека и бывшего, сошедшихся в лагере для короткой или подлинной привязанности -- спешили наказать тюрьмой, разорвать и разослать.",0
496,496,я очнулся.,1
497,497,"в декабре 1917-го  он предположительно выдвигает набор наказаний  такой:  ""конфискацию  всего  имущества...  заключение  в  тюрьму, отправку  на  фронт  и  принудительные  работы  всем  ослушникам  настоящего закона"".2 стало быть,  мы  можем отметить,  что  ведущая идея архипелага  -- принудительные работы, была выдвинута в первый же послеоктябрьский месяц.",1
498,498,"-- просветлел я.      и  я узнал,  что  не вс?",1
499,499,"там зам?рзли двое, прислонясь  друг  к  другу  спинами.",1
500,500,"кладовая охраняется голяшкой, бесконтрольных `` утрат '' быть не может.",0
501,501,еще -- целые роты в снег кладут за провинность.,1
502,502,"-- он  за  меня  первый  сватался...  раньше ефима...  он  был  брат -- старший... мне было девятнадцать, фаддею -- двадцать три... вот в этом самом доме они тогда жили.",1
503,503,"и ведь скажи пожалуйста, тридцатью годами позже авербаха пришлось и мне два слова вымолвить о  бригаде, ну  просто как там дела идут, -- а ведь люди совсем  же  иначе,  совсем  искаженно  поняли: ""бригада  --  основной  вклад коммунизма  в  науку  о  наказаниях  (что   как-раз  верно,  это  и  авербах говорит)...  это  -- коллективный  организм,  живущий,  работающий,  едящий, спящий, и страдающий вместе в безжалостно-вынужденном симбиозе"".44      о, без бригады еще пережить лагерь можно!",1
504,504,кузнецу парамонову в  одном  из архангельских  лагерей за  отличную работу сбросили два года с десятки.,1
505,505,"новые  лозунги воспитателей: ""туфта25 -- опаснейшее орудие  контрреволюции""  (а  тухтят блатные  больше всех:  уж л?д засыпать в  ряжи -- узнаю,  это их затея!).",1
506,506,"напугав  самых ближних соседей, они для дальних не событие.",1
507,507,"а была спекуляция и совершенно политического характера, как указывал декрет совнаркома  за  подписью ленина  от 22.7.18: ""виновные в сбыте, скупке  или  хранении для сбыта в  виде  промысла продуктов  питания, монополизированных  республикой (крестьянин хранит хлеб  -- для сбыта в виде промысла, а какой же  его промысел??",1
508,508,"территория -- т? мная, у костра -- я один, могу еще принести плотничьих обрезок.",0
509,509,"а  дело всякое  начинала  ""с  богом!""",1
510,510,"те, кто едут архипелагом управлять -- попадают туда через училища мвд.",1
511,511,"-- так слушай,  может, разреши, я  ее заберу  сейчас?",1
512,512,"очевидно,  найдя себя в капкане, он решает и эту жизнь подвергнуть  деловому  рассмотрению.",1
513,513,впер?д и поставит е?,1
514,514,"ну, а если б знали?",1
515,515,"статья 75-я  -- ""при  более тяжелой работе увеличивается па?к""?",1
516,516,едва отошел  его пароход -- мальчика расстреляли.,1
517,517,"но  мы  знаем,  что  принудработы оказались  очень жизненной мерой и даже через 50 лет они весьма популярны.",1
518,518,"объявляя же стройку, е?",1
519,519,не спала матрена две ночи.,1
520,520,"мы только что пережили один из высоких получасов своей быта -- один полчаса поездки сюда с красной кхмера -- то, что называется ближний стадия.",0
521,521,-- а почему?,1
522,522,сесть  на  землю!,1
523,523,сдвинься!,1
524,524,"может  быть, она и молилась,  но не показно, стесняясь меня или боясь  меня притеснить.",1
525,525,-- они пили тут перед отъездом?,1
526,526,в  феврале  1933 года отбирают  свободу  у досрочно-освобожденных  инженеров  --  за  обнаруженную туфту.,1
527,527,"-- возбужденно кричали, бегая по концлагерю, молодые зеки -- пареньки и бабы, когда два наших автомобиля, каждый груженный тридцатью немцами, въехали в особенность небольшого прямоугольника концлагеря новый галилею.",0
528,528,"вдруг --  прорыв (не воды, процентов) на отделении тунгуда!",1
529,529,больше ничем мы не интересны им.,0
530,530,с того  лета  черезсильно напрягшаяся  деревня  год  за годом  отдавала урожай  безвозмездно.,1
531,531,но и  в  этом  потоке народ был больше простой и мемуаров не написал.,1
532,532,"на мылге  (подолпе  эльгена) при начальнике гаврике  для  невыполняющих нормы женщин эти наказания были мягче: просто  неотапливаемая палатка  зимой (но  можно  выбежать  и  бегать  вокруг),  а  на  сенокосе  при  комарах  -- незащищенный прутяной шалаш (воспоминания слиозберг).",1
533,533,"и  сколько  было обнаружено  дырок, через которые воля еще могла наблюдать за архипелагом.",1
534,534,")27 одежда  -- своя, донашиваемая.",1
535,535,вс?,1
536,536,"может, надо было все это показать  им?",1
537,537,"их размахивающийся сделал их не направлением, не боком -- а еле ли не почкой эпизодов.",0
538,538,"говорят, что в феврале-марте 1938 года была спущена по  нквд  секретная инструкция:  уменьшить  количество  заключ?нных!",1
539,539,--  обомлели мы.,1
540,540,"9  в честь председателя московской тройки огпу, недоучившегося молодого человека:          ""он был студент, и был горняк,         зач?ты же не шли никак.""",1
541,541,"не в кремле конечно, а на командировках, кто  имел  и  передвижение и время, где-нибудь в лесу близ берега строили лодку или плот  и отваливали ночью  (а то и  просто на бревне верхом)  --  наугад,  больше  всего надеясь встретить иностранный  пароход.",1
542,542,не воспрещалось.),1
543,543,это  сходится  так   иногда.,1
544,544,"36 ю. куземко -- третий шлюз, дмитлаг, 1935.",1
545,545,"и еще тут было добродушное нижайший : вы с нами плохо, а мы -- вот как!",0
546,546,-- какие могут быть  шутки в  военное  время!,1
547,547,"и отвечали вторые бойко: ""торгуем своим, а не краденым!"")",1
548,548,"годы идут,  и неосвежаемое  вс?",1
549,549,(и  вс?,1
550,550,"и вот -- цынга,  и даже ""канцелярские роты"" в нарывах, а уж общие... с дальних  командировок  возвращаются ""этапы на  карачках"" (так и  ползут от пристани на четыр?х ногах).",1
551,551,"если же верить лагерным художникам, выставленным в  квч, то и вот какая техника есть уже на канале: один экскаватор,  один кран и один трактор.",1
552,552,е?,0
553,553,"строить, и доказывалось, что подвозка этих восьми миллионов будет сейчас стоить дороже их самих.",0
554,554,"намеченный  к аресту  по случайным  обстоятельствам, вроде доноса соседа, человек  легко заменялся другим соседом.",1
555,555,чекисты: замените деревом!,1
556,556,это значит -- секирная  гора.,1
557,557,по юности лет и в жаре гражданской войны он не успел приобрести другой.),1
558,558,"в эту маленькую дверь его втискивают и в затылок стреляют  -- там дальше  крутые  ступеньки вниз, он  свалится, и даже можно 7-8 человек набить, а потом присылают вытянуть  трупы и  наряжают женщин (матери  и жены  ушедших в константинополь;  верующие, не  уступившие веры и не давшие оторвать от не?",1
559,559,с  1926 г.,1
560,560,родные  ей  помогали  мало.,1
561,561,а уж ты!,1
562,562,"о, хьюлет джонсон!",1
563,563,они не знают.,1
564,564,"),  который из  небытия и  ничтожества  превращает людей в героев.",1
565,565,6-7.,1
566,566,может быть только с четверти двенадцатого изнеможенный концлагерь спит.,0
567,567,если  же  свалится -- надзиратели подскакивают и бьют его.,1
568,568,"в самом деле, ненадежных  попутчиков, всю эту  интеллигентскую  шать и гниль  -- когда  же сажать, если  не в канун  войны  за мировую  революцию?",1
569,569,--  ефим  ее не  любил.,1
570,570,"а ведь там, откуда я приехал, мог я жить в глинобитной хатке, глядящей  в пустыню.",1
571,571,"и даже с приложением  -- газетой ""новые соловки"" (разорвем с  проклятым  монашеским прошлым!).",1
572,572,и только лоб уходил лысым куполом в лысую просторную маковку.,1
573,573,"после 30.8.18 нквд дал указания на места ""немедленно арестовать всех  правых эсеров,   а  из   буржуазии  и  офицерства  взять   значительное  количество заложников"".6 (ну, как если бы, например, после  покушения группы александра ульянова была бы арестована не  она  только, но и  все  студенты  в россии и значительное количество земцев.)",1
574,574,"друг с другом обои склеились хорошо, от стены же во многих местах отстали -- и получилась как бы внутренняя шкура на избе.",1
575,575,катал ли ты канальную тачку да на штрафном пайке?..,1
576,576,"здесь республика не со-вец-ка-я, а соловец-ка-я!",1
577,577,"видно, весь вечер матрена только об том и думала.",1
578,578,"* лицемерное буржуазное государство придумало, что оно должно наблюдать за положением мест предтюремного и самотёком уточнения заключённых.",0
579,579,самонаблюдение!,1
580,580,"35, стр.",1
581,581,"весь кирпичный комбинат это -- два комбината, мокрого и сухого электролитического.",0
582,582,"матрена бегала среди мужчин, суетилась  и помогала накатывать бревна на сани.",1
583,583,инженеры  говорят: будем  делать  бетонные  сооружения.,1
584,584,к чему?...,1
585,585,"они восхищаются  не   только  их  умом,  волей,  организацией,  но  и  в  высшем человеческом  смысле,  как  существами удивительными.",1
586,586,"""он может  только  замаскироваться, а не исправиться!",1
587,587,"и если мо? -таки тухту в платьях беспрерывно дуют, если записывается окучивание и подсыпка окопов, никогда не зиявших в почве ; отремонтировавшую кондиционирования или станочка, не выходившего из неотерика ; дежурство столбиков цел? хоньких, которые еще десять месяцев перестоят, -- то делается это даже не по наущению лагерного чиновника, спокойного, что деньги в концлагерь так или пурушотт притекут, -- а самими заключ? нными ( трактористами, отделочниками, бригадирами ), потому что таковы все государственные нормативы : они рассчитаны не для земной реальной быта, а для какого-то лунного идеи.",0
588,588,"а она не имела...      не  гналась за обзаводом... не выбивалась,  чтобы купить вещи  и  потом беречь их больше своей жизни.",1
589,589,вы -- арестованы!,1
590,590,"клевета-то клеветой,  но досадный получился прорыв!",1
591,591,"все  работали, как  безумные,  в  том ожесточении, какое бывает у людей, когда  пахнет большими  деньгами или ждут большого угощения.",1
592,592,"но  еще  и до всякой  гражданской войны  увиделось, что россия в  таком составе населения, как она есть, ни в какой социализм,  конечно, не годится, что  она вся загажена.",1
593,593,"о-ва"", 1929,  no.",1
594,594,распределение заключ?нных по лагерям  ближним и  дальним легко решилось постановлением  цик  и снк  от  6.11.29.,1
595,595,ее завитые локончики жалко растрепались.,1
596,596,за окнами уже совсем стемнело.,1
597,597,кто-то вспомнил -- традицию?,1
598,598,здорово они натренированы на человеческое баранина.,0
599,599,"-- если  сталинград падет --  всех вас перестреляем!""",1
600,600,"-- она расширилась вынуждать, и расширился полукруг рабочих, которые от нее кормились.",0
601,601,"о-ва"",  1929, no.",1
602,602,"не священники же, не сектанты, не нэпманы, не уч?ные да и не студенты (студентов не так мало здесь, а студенческая фуражка на голове соловчанина -- это вызов, дерзость, заметка и заявка на расстрел).",1
603,603,"4, стр.",1
604,604,"а у  меня уж фамилия накл?ванная, сразу будет подозрение: зачем еду?",1
605,605,-- и ни в коем случае не пятьдесят восьмая.,1
606,606,а у нас была техника -- на сорок веков назад!,1
607,607,"лицеисты.17  по воспитанию, по традициям  --  слишком горды, чтобы  показать подавленность  или  страх,  чтобы  выть,  чтобы  жаловаться  на  судьбу даже друзьям.",1
608,608,"на  соловках); конкордию николаевну  иоссе -- женщину, видимо,  блестящих качеств: мужа е?, офицера  при ней расстреляли, самою' сослали в соловки, но она сумела выпроситься  назад и  вблизи большой лубянки вести салон, который любили посещать крупные деятели этого дома.",1
609,609,"нет, остров только усилился, умножился, он еще быстрее будет усваивать россию.",0
610,610,"это было в шесть получасов утра, а сейчас -- одиннадцатый вечера.",0
611,611,"""34  придумано было вот  какое зверское наказание для провинившихся членов коммуны: запрещать им выходить на работу!",1
612,612,"ах, бестолочь!",1
613,613,кого на полустанках у победоносцевых сажают задом в лужа?,0
614,614,"может, обойдется?",1
615,615,она посидела часа  два -- е?,1
616,616,`` поддержим гренадер фугасами! '',0
617,617,"только с удлинением ночей, поздним летом и  осенью, наступает удобное время.",1
618,618,да вообще-то мо?,0
619,619,показателен  хотя  бы эпизод  с яковом раппопортом (фото на стр.,1
620,620,"немногочисленных своих  читателей журнал, должно быть, немало  подивил, как долго может рыбье мясо сохраняться во льду.",1
621,621,"но  кому заниматься  всей  внутренней  организацией,  кому вести адмчасть,  кто будут ротные и отделенные?",1
622,622,"односельчане,  кто был с ним в роте, говорили, что либо в плен он попал, либо  погиб, а только тела  не нашли.",1
623,623,соревнования  между трудколлективами!,1
624,624,"с руками, связанными  проволокою за  спиной16 -- а осужденный гордо, прямо  держится  и  одними губами,  без помощи рук,  курит последнюю  в жизни папиросу.",1
625,625,немцев привезли!,0
626,626,вот что такое лагеря военных лет: больше работы -- меньше еды -- меньше топлива -- хуже одежда -- свирепей закон -- строже кара -- но  и  это еще не вс?.,1
627,627,срока.,1
628,628,поэтому  идет обл?т телеграммами: а  какая  там отметка?,1
629,629,дни рекордов.,1
630,630,1937-й  год был публично предсказан и обоснован.,1
631,631,этот луговой ветерок -- кто может вбирать жаднее заключённых?,0
632,632,"10       9 там же, стр.",1
633,633,"все четверо  щурились,  оглядывались  в полутьме от настольной лампы.",1
634,634,"а сколько всяких окаянных интеллигентов, неприкаянных студентов, разных чудаков, правдоискателей  и юродивых, от которых еще п?тр i тщился  очистить русь и которые всегда мешают стройному строгому режиму?",1
635,635,"направление не дальняя, да печальная.",0
636,636,"мне представляется, что он ненавидел эту россию.",0
637,637,"):  постановления вцик о  лагерях принудительных  работ состоялись 15 апреля  1919  и  17 мая  1919.14  по ним лагеря  принудработ  создавались  (усилиями  губчк)  непременно   в   каждом губернском городе  (по удобству  -- в черте  города, или в монастыре  или  в близкой усадьбе)  и в некоторых  уездах (пока -- не во  всех).",1
638,638,и кто теперь  будет  искать  виновных?,1
639,639,"сколько  можно  судить   по впечатлениям зэков из разных лагерей, такой уклон событий породил два разных поведения у  хозяев.",1
640,640,"в этой главе мы все говорим о массе, о кроликах, посаженных неведомо за что.",1
641,641,крестьяне тоже подкармливаются этой тухтой.,0
642,642,"а  вокзал  сну?т  вокруг  --  и ничего не замечает... граждане, любящие путешествовать!",1
643,643,"ну,  отойдем в  сторонку, чтоб людям не мешать"".",1
644,644,а.  п. суханов.,1
645,645,"пролился этот  поток, всосался в  вечную  мерзлоту,  и  даже самые  горячие  умы  о  н?м  почти не вспоминают.",1
646,646,утопить в море?,1
647,647,"посвящаю      всем, кому не хватило жизни      об этом рассказать.",1
648,648,"любительницам грешной земной  жизни, им давали  л?гкую статью и по три года.",1
649,649,с.).,1
650,650,"изложение, но и поднимают нас на научную высоту!",1
651,651,"козу забрала одна сестра, избу -- сапожник  с  женою,  а  в  зачет  фаддеевой доли,  что он  ""здесь  каждое бревнышко  своими  руками  перенянчил"",  пошла  уже свезенная горница, и еще уступили  ему сарай, где жила  коза, и весь внутренний забор, между двором и огородом.",1
